DAY_WEEK,CITY,RAIL,MAN_COLL,LATITUDE,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,LONGITUD,DAY,HOUR
3,1760,0000000,0,36.02812222,1,36,5,0,88,1,0,99,47,0,I-24,99999999999999999999,1,0,0,1,99,1,0,4,0,37,2009,6,470414,0,99,259,2,1,0,88,1,1,99,-86.63602778,2,1
4,1760,0000000,2,36.07726944,1,12,4,0,99,1,0,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,1,1,0,37,2009,5,470515,0,99,6,2,2,0,99,2,1,99,-87.02937778,6,2
3,1760,0000000,1,36.18920556,1,12,26,0,99,1,0,99,47,0,US-SR24,99999999999999999999,5,0,0,1,99,2,0,1,0,37,2009,6,470516,0,99,252,1,3,0,99,2,0,99,-86.62784167,23,14
6,1760,0000000,6,36.20661389,1,12,4,0,99,1,0,99,47,0,US-SR65,BRICK CHURCH PIKE,3,0,0,1,99,2,1,1,0,37,2009,7,470517,0,99,5,3,2,0,99,2,0,99,-86.77789722,3,23
1,1760,0000000,0,36.09772222,2,5,42,0,99,2,0,99,47,19,I-24,99999999999999999999,5,0,0,1,99,1,0,1,0,37,2009,7,470519,14,99,195,1,4,0,99,4,1,99,-86.70927222,5,17
2,1760,0000000,0,36.08091389,2,30,13,0,99,2,0,99,47,0,SR-255,99999999999999999999,2,0,0,1,99,3,1,4,0,37,2009,6,470520,0,99,13,3,1,0,99,1,1,99,-86.75155,22,22
4,1760,0000000,2,36.20523611,2,12,0,0,99,2,0,99,47,0,TULIP GROVE RD,99999999999999999999,4,0,0,1,99,6,0,1,0,37,2009,7,470522,0,99,24,1,2,0,99,2,0,99,-86.58996944,29,7
3,1760,0000000,0,36.15225,1,39,2,0,99,1,0,99,47,0,I-40,99999999999999999999,1,0,1,1,99,1,0,4,0,37,2009,7,470524,0,99,124,1,1,0,99,1,1,99,-86.85769722,21,9
7,1760,0000000,5,36.15795,1,12,28,0,99,1,0,99,47,0,US-SR24,CHURCH ST,2,0,0,1,99,2,0,1,0,37,2009,2,470525,0,99,121,1,2,0,99,2,0,99,-86.79160556,28,10
2,1760,0000000,0,36.06785,1,33,30,0,88,1,0,99,47,0,OLD HICKORY BLVD,99999999999999999999,1,0,0,1,99,6,0,4,0,37,2009,3,470577,0,99,5,1,1,0,88,1,0,99,-86.91715833,23,11
5,1760,0000000,2,36.13173889,1,12,38,0,99,1,0,99,47,0,SR-255,99999999999999999999,2,0,0,1,99,3,0,1,0,37,2009,7,470578,0,99,85,1,2,0,99,2,1,99,-86.66449167,16,19
2,1760,0000000,0,36.12525833,1,39,3,0,88,1,0,99,47,0,I-440,99999999999999999999,1,0,0,1,99,1,1,2,0,37,2009,9,470647,0,99,77,3,1,0,88,1,1,99,-86.73328333,14,2
7,1760,0000000,7,36.14156944,1,12,0,0,99,1,0,99,47,0,I-40,99999999999999999999,5,0,0,1,99,1,0,1,0,37,2009,8,470649,0,99,213,1,2,0,99,2,1,99,-86.73275,29,7
6,1760,0000000,0,36.13436667,1,24,38,0,88,1,0,99,47,0,I-65,99999999999999999999,1,0,0,1,99,1,0,4,0,37,2009,9,470654,0,99,73,3,1,0,88,1,1,99,-86.77543611,11,1
7,1760,0000000,0,36.11269167,1,30,23,0,99,1,0,99,47,0,BROWNLEE DR,99999999999999999999,5,0,0,1,99,6,1,6,0,37,2009,4,470703,0,99,3,2,1,0,99,1,0,99,-86.89709444,25,4
5,1760,0000000,0,36.22600556,1,9,43,0,99,1,1,99,47,0,US-SR11,99999999999999999999,4,0,0,1,99,2,0,1,0,37,2009,10,470710,0,99,164,3,1,0,99,1,0,99,-86.76013333,1,19
3,1760,0000000,0,36.21000833,1,8,58,0,99,1,1,99,47,0,ARDEE AVE,99999999999999999999,2,0,0,1,99,6,0,1,0,37,2009,9,470756,0,99,0,3,1,0,99,1,0,99,-86.71392222,8,22
5,1760,0000000,0,36.13084444,1,39,8,0,99,1,0,99,47,0,FOOTHILL DR,99999999999999999999,1,0,0,1,99,6,0,4,0,37,2009,10,470841,0,99,0,1,1,0,99,1,0,99,-86.71729167,29,9
1,1760,0000000,0,36.12526111,1,1,13,0,99,1,0,99,47,0,I-440,99999999999999999999,2,0,0,2,99,1,0,6,0,37,2009,8,470842,0,99,73,3,1,0,99,1,1,99,-86.73321389,23,3
