,Unnamed: 0,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view,geometry,source,DAY_WEEK,CITY,RAIL,MAN_COLL,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,DAY,cluster_label
11,11,,,,,36.28780556,-86.72567222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,5.0,1760.0,0000000,2.0,2.0,12.0,26.0,0.0,88.0,2.0,0.0,99.0,47.0,0.0,I-65,99999999999999999999,2.0,0.0,0.0,2.0,99.0,1.0,1.0,1.0,0.0,37.0,2009.0,3.0,470265.0,0.0,99.0,2.0,184.0,2.0,2.0,0.0,88.0,2.0,1.0,99.0,26.0,2
12,12,,,,,36.09492222,-86.70055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,6.0,1760.0,0000000,5.0,1.0,12.0,0.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,ANTIOCH PIKE,99999999999999999999,4.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,3.0,470290.0,0.0,99.0,13.0,53.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,13.0,0
13,13,,,,,36.28331389,-86.70699167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,2.0,1.0,12.0,54.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR6,99999999999999999999,7.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,4.0,470292.0,0.0,99.0,11.0,200.0,1.0,3.0,0.0,99.0,3.0,0.0,99.0,8.0,2
14,14,,,,,36.04841111,-86.74365556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,5.0,2.0,12.0,46.0,0.0,99.0,2.0,0.0,99.0,47.0,0.0,EDMONDSON PIKE,BRENTWOOD PLACE,3.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,5.0,470294.0,0.0,99.0,8.0,23.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,2.0,0
15,15,,,,,36.32049444,-86.84881111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,0.0,2.0,24.0,26.0,0.0,99.0,2.0,0.0,99.0,47.0,0.0,I-24,99999999999999999999,1.0,0.0,0.0,1.0,99.0,1.0,0.0,4.0,0.0,37.0,2009.0,4.0,470295.0,0.0,99.0,9.0,41.0,1.0,1.0,0.0,99.0,1.0,1.0,99.0,6.0,2
16,16,,,,,36.15381667,-86.79440556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,1.0,1760.0,0000000,0.0,1.0,8.0,37.0,0.0,99.0,1.0,2.0,99.0,47.0,0.0,US-SR1,99999999999999999999,3.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,4.0,470301.0,0.0,99.0,2.0,168.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,26.0,1
17,17,,,,,36.17114722,-86.79396111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,0.0,1.0,8.0,5.0,0.0,99.0,1.0,1.0,99.0,47.0,0.0,10TH AVE N,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,4.0,470359.0,1.0,99.0,21.0,3.0,2.0,1.0,0.0,99.0,1.0,0.0,99.0,15.0,1
18,18,,,,,36.11338333,-86.69035278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,5.0,1.0,12.0,38.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR1,99999999999999999999,2.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,4.0,470360.0,0.0,99.0,16.0,238.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,27.0,0
19,19,,,,,36.09858056,-86.73893333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,6.0,1760.0,0000000,0.0,1.0,5.0,3.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR11,HARRISON ST,1.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,5.0,470364.0,0.0,99.0,18.0,85.0,1.0,1.0,0.0,99.0,1.0,0.0,99.0,8.0,0
20,20,,,,,36.08777222,-86.73116111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,0.0,1.0,8.0,9.0,0.0,99.0,1.0,1.0,99.0,47.0,0.0,US-SR11,99999999999999999999,2.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,5.0,470365.0,0.0,99.0,22.0,77.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,9.0,0
