,DAY_WEEK,CITY,RAIL,MAN_COLL,LATITUDE,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,LONGITUD,DAY
26,3,1760,0000000,0,36.02812222,1,36,5,0,88,1,0,99,47,0,I-24,99999999999999999999,1,0,0,1,99,1,0,4,0,37,2009,6,470414,0,99,1,259.0,2,1,0,88,1,1,99,-86.63602778,2
27,4,1760,0000000,2,36.07726944,1,12,4,0,99,1,0,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,1,1,0,37,2009,5,470515,0,99,2,6.0,2,2,0,99,2,1,99,-87.02937778,6
28,3,1760,0000000,1,36.18920556,1,12,26,0,99,1,0,99,47,0,US-SR24,99999999999999999999,5,0,0,1,99,2,0,1,0,37,2009,6,470516,0,99,14,252.0,1,3,0,99,2,0,99,-86.62784167,23
29,6,1760,0000000,6,36.20661389,1,12,4,0,99,1,0,99,47,0,US-SR65,BRICK CHURCH PIKE,3,0,0,1,99,2,1,1,0,37,2009,7,470517,0,99,23,5.0,3,2,0,99,2,0,99,-86.77789722,3
30,1,1760,0000000,0,36.09772222,2,5,42,0,99,2,0,99,47,19,I-24,99999999999999999999,5,0,0,1,99,1,0,1,0,37,2009,7,470519,14,99,17,195.0,1,4,0,99,4,1,99,-86.70927222,5
31,2,1760,0000000,0,36.08091389,2,30,13,0,99,2,0,99,47,0,SR-255,99999999999999999999,2,0,0,1,99,3,1,4,0,37,2009,6,470520,0,99,22,13.0,3,1,0,99,1,1,99,-86.75155,22
32,4,1760,0000000,2,36.20523611,2,12,0,0,99,2,0,99,47,0,TULIP GROVE RD,99999999999999999999,4,0,0,1,99,6,0,1,0,37,2009,7,470522,0,99,7,24.0,1,2,0,99,2,0,99,-86.58996944,29
33,3,1760,0000000,0,36.15225,1,39,2,0,99,1,0,99,47,0,I-40,99999999999999999999,1,0,1,1,99,1,0,4,0,37,2009,7,470524,0,99,9,124.0,1,1,0,99,1,1,99,-86.85769722,21
34,7,1760,0000000,5,36.15795,1,12,28,0,99,1,0,99,47,0,US-SR24,CHURCH ST,2,0,0,1,99,2,0,1,0,37,2009,2,470525,0,99,10,121.0,1,2,0,99,2,0,99,-86.79160556,28
35,2,1760,0000000,0,36.06785,1,33,30,0,88,1,0,99,47,0,OLD HICKORY BLVD,99999999999999999999,1,0,0,1,99,6,0,4,0,37,2009,3,470577,0,99,11,5.0,1,1,0,88,1,0,99,-86.91715833,23
36,5,1760,0000000,2,36.13173889,1,12,38,0,99,1,0,99,47,0,SR-255,99999999999999999999,2,0,0,1,99,3,0,1,0,37,2009,7,470578,0,99,19,85.0,1,2,0,99,2,1,99,-86.66449167,16
37,2,1760,0000000,0,36.12525833,1,39,3,0,88,1,0,99,47,0,I-440,99999999999999999999,1,0,0,1,99,1,1,2,0,37,2009,9,470647,0,99,2,77.0,3,1,0,88,1,1,99,-86.73328333,14
38,7,1760,0000000,7,36.14156944,1,12,0,0,99,1,0,99,47,0,I-40,99999999999999999999,5,0,0,1,99,1,0,1,0,37,2009,8,470649,0,99,7,213.0,1,2,0,99,2,1,99,-86.73275,29
39,6,1760,0000000,0,36.13436667,1,24,38,0,88,1,0,99,47,0,I-65,99999999999999999999,1,0,0,1,99,1,0,4,0,37,2009,9,470654,0,99,1,73.0,3,1,0,88,1,1,99,-86.77543611,11
40,7,1760,0000000,0,36.11269167,1,30,23,0,99,1,0,99,47,0,BROWNLEE DR,99999999999999999999,5,0,0,1,99,6,1,6,0,37,2009,4,470703,0,99,4,3.0,2,1,0,99,1,0,99,-86.89709444,25
41,5,1760,0000000,0,36.22600556,1,9,43,0,99,1,1,99,47,0,US-SR11,99999999999999999999,4,0,0,1,99,2,0,1,0,37,2009,10,470710,0,99,19,164.0,3,1,0,99,1,0,99,-86.76013333,1
42,3,1760,0000000,0,36.21000833,1,8,58,0,99,1,1,99,47,0,ARDEE AVE,99999999999999999999,2,0,0,1,99,6,0,1,0,37,2009,9,470756,0,99,22,0.0,3,1,0,99,1,0,99,-86.71392222,8
43,5,1760,0000000,0,36.13084444,1,39,8,0,99,1,0,99,47,0,FOOTHILL DR,99999999999999999999,1,0,0,1,99,6,0,4,0,37,2009,10,470841,0,99,9,0.0,1,1,0,99,1,0,99,-86.71729167,29
44,1,1760,0000000,0,36.12526111,1,1,13,0,99,1,0,99,47,0,I-440,99999999999999999999,2,0,0,2,99,1,0,6,0,37,2009,8,470842,0,99,3,73.0,3,1,0,99,1,1,99,-86.73321389,23
45,1,1760,0000000,0,36.06871667,2,33,45,0,88,2,0,99,47,0,EDMONDSON PIKE,99999999999999999999,1,0,0,1,99,6,1,4,0,37,2009,9,470844,0,99,19,39.0,3,1,0,88,1,0,99,-86.73665833,20
46,7,1760,0000000,7,36.10898056,1,12,0,0,88,1,0,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,0,1,0,37,2009,10,470845,0,99,19,80.0,2,2,0,88,2,1,99,-86.92572222,24
47,5,1760,0000000,1,36.12506111,1,14,54,0,99,1,0,99,47,0,I-65,99999999999999999999,4,0,0,2,99,1,0,2,0,37,2009,10,470848,0,99,14,66.0,1,2,0,99,2,1,99,-86.77285556,22
48,1,1760,0000000,1,36.01726944,1,12,14,0,99,1,0,99,47,0,I-24,99999999999999999999,6,0,0,1,99,1,1,1,0,37,2009,10,470849,0,99,20,269.0,2,2,0,99,2,1,99,-86.62388333,25
49,7,1760,0000000,9,36.23195,1,12,15,0,99,1,0,99,47,0,BRICK CHURCH PIKE,99999999999999999999,4,0,0,1,99,6,1,1,0,37,2009,10,470850,0,99,13,18.0,1,2,0,99,2,0,99,-86.78154722,31
50,1,1760,0000000,1,36.24038056,1,12,47,0,99,1,0,99,47,0,SR-155,99999999999999999999,5,0,0,1,99,3,0,1,0,37,2009,11,470855,0,99,15,154.0,1,2,0,99,2,1,99,-86.74733611,1
51,7,1760,0000000,0,36.10889444,1,1,19,0,99,1,0,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,1,1,0,37,2009,7,470869,0,99,8,75.0,1,1,0,99,1,1,99,-86.92587778,4
52,2,1760,0000000,0,36.08160278,1,25,19,0,88,1,0,99,47,0,I-24,99999999999999999999,1,0,0,1,99,1,1,2,0,37,2009,11,470870,0,99,1,210.0,3,1,0,88,1,1,99,-86.69718611,9
53,4,1760,0000000,0,36.09355278,1,32,45,0,99,1,0,99,47,0,FRANKLIN LIMESTONE R,99999999999999999999,2,0,0,1,99,6,1,4,0,37,2009,11,470895,0,99,5,3.0,2,1,0,99,1,0,99,-86.65748056,18
54,2,1760,0000000,0,36.06075556,1,19,0,0,99,1,0,99,47,0,ANTIOCH PIKE,99999999999999999999,3,0,0,1,99,6,0,4,0,37,2009,12,470913,0,99,11,23.0,1,1,0,99,1,0,99,-86.67416944,14
55,6,1760,0000000,0,36.06869167,2,24,24,0,99,2,0,99,47,0,HAYWOOD LN,99999999999999999999,5,0,0,1,99,6,1,5,0,37,2009,12,470914,0,99,8,9.0,1,2,0,99,2,0,99,-86.703275,25
56,7,1760,0000000,0,36.24150556,1,8,48,0,99,1,1,99,47,0,US-SR6,99999999999999999999,5,0,0,1,99,2,0,1,0,37,2009,11,470928,0,99,21,167.0,3,1,0,99,1,0,99,-86.73678056,28
57,6,1760,0000000,5,36.05851944,1,12,35,0,88,1,0,99,47,0,TUSCULUM RD,HASTY DR,2,0,0,1,99,6,0,1,0,37,2009,12,470929,0,99,12,3.0,1,2,0,88,2,0,99,-86.71926111,4
58,6,1760,0000000,0,36.03720556,2,36,13,0,88,2,0,99,47,0,SR-171,99999999999999999999,2,0,0,1,99,3,0,4,0,37,2009,12,470930,0,99,11,17.0,1,2,0,88,2,0,99,-86.61087778,18
59,6,1760,0000000,7,36.14116667,2,14,58,0,99,2,1,99,47,0,I-40,99999999999999999999,2,0,0,1,99,1,1,2,0,37,2009,10,470931,0,99,23,222.0,3,2,0,99,1,1,99,-86.71788889,23
60,2,1760,0000000,0,36.14156667,1,25,37,0,88,1,0,99,47,0,I-40,,1,0,0,1,99,1,0,3,0,37,2010,1,470043,0,99,0,248.0,3,1,0,88,1,1,99,-86.67143333,11
61,2,1760,0000000,1,36.29193889,1,12,27,0,99,1,0,99,47,0,US-SR112,EATONS CREEK ROAD,2,0,0,1,99,2,0,1,0,37,2010,1,470090,0,99,17,87.0,2,2,0,99,2,0,99,-86.88379444,18
62,2,1760,0000000,6,36.14272222,4,12,13,0,99,4,0,99,47,0,I-40,,3,0,0,1,99,1,0,1,0,37,2010,2,470111,0,99,13,227.0,1,2,0,99,2,1,99,-86.70831667,1
63,5,1760,0000000,6,36.15586111,2,12,3,0,99,2,0,99,47,0,STEWARTS FERRY PIKE,I-40 E RAMP,4,0,0,1,99,6,0,1,0,37,2010,2,470115,0,99,22,2.0,3,2,0,99,2,0,99,-86.62908611,4
64,4,1760,0000000,0,36.07389722,1,8,35,0,88,1,1,99,47,0,US-SR1,WATERFORD CIRCLE,1,0,0,1,99,2,1,1,0,37,2010,2,470116,0,99,2,72.0,2,1,0,88,1,0,99,-86.92725278,24
65,4,1760,0000000,0,36.06145833,1,11,5,0,99,1,0,99,47,0,SR-100,,5,0,0,1,99,3,0,1,0,37,2010,2,470119,0,99,20,87.0,2,1,0,99,1,0,99,-86.90893611,17
66,2,1760,0000000,0,36.24391667,1,40,4,0,88,1,0,99,47,0,DOVERSIDE DRIVE,US-SR11,1,0,0,1,99,6,0,5,0,37,2010,3,470167,0,99,20,1.0,3,1,0,88,1,0,99,-86.75676944,1
67,6,1760,0000000,6,36.35236667,1,12,18,0,88,1,0,99,47,0,US-SR65,BAXTER ROAD,3,0,0,1,99,2,1,1,0,37,2010,3,470168,0,99,19,132.0,2,2,0,88,2,0,99,-86.87989444,12
68,3,1760,0000000,0,36.07921111,1,23,0,0,99,1,0,99,47,0,VAUGHNS GAP ROAD,HARDING PLACE,1,0,0,1,99,6,0,4,0,37,2010,1,470170,0,99,18,0.0,3,1,0,99,1,0,99,-86.88546111,19
69,2,1760,0000000,0,36.26366944,1,24,35,0,88,1,0,99,47,0,SR-45,,1,0,0,1,99,3,0,4,0,37,2010,3,470196,0,99,13,88.0,1,1,0,88,1,1,99,-86.67517778,29
70,1,1760,0000000,0,36.12261111,2,38,24,0,99,2,0,99,47,0,POST ROAD,,1,0,0,1,99,6,1,5,0,37,2010,1,470208,0,99,23,1.0,2,1,0,99,1,0,99,-86.85888611,24
71,4,1760,0000000,0,36.14338611,1,32,42,0,88,1,0,99,47,0,BELL ROAD,,1,0,0,1,99,6,1,4,0,37,2010,1,470209,0,99,23,53.0,2,1,0,88,1,0,99,-86.62669167,27
72,3,1760,0000000,0,36.07730278,2,42,20,4,99,4,0,99,47,0,I-40,,1,0,0,1,99,1,0,4,0,37,2010,2,470212,0,99,5,15.0,2,1,0,99,1,1,99,-87.01244722,9
73,3,1760,0000000,0,36.04221389,10,8,42,0,88,10,1,99,47,0,CEDARMONT DRIVE,,1,0,0,1,99,6,1,1,0,37,2010,2,470213,0,99,11,0.0,1,1,0,88,1,0,99,-86.70328056,9
74,6,1760,0000000,0,36.04395,2,30,0,0,88,2,0,99,47,0,SR-254,BROOKVIEW ESTATES DR,1,0,0,1,99,3,0,4,0,37,2010,3,470216,0,99,7,128.0,1,1,0,88,1,1,99,-86.69326944,12
75,2,1760,0000000,1,36.14075,4,12,25,0,99,4,0,99,47,0,I-40,,3,0,0,1,99,1,0,1,0,37,2010,1,470242,0,99,9,214.0,1,2,0,99,2,1,99,-86.72643889,4
76,6,1760,0000000,0,36.17598889,10,8,30,0,99,10,1,99,47,0,MAIN STREET,,1,0,0,1,99,6,0,1,0,37,2010,1,470243,0,99,11,5.0,1,1,0,99,1,0,99,-86.75717778,22
77,2,1760,0000000,0,36.11118611,1,40,18,0,99,1,0,99,47,0,SR-155,,1,0,0,1,99,3,0,4,0,37,2010,4,470244,0,99,14,14.0,1,1,0,99,1,0,99,-86.74888611,5
78,4,1760,0000000,6,36.28920278,1,12,56,0,99,1,0,99,47,0,US-SR112,,2,0,0,1,99,2,0,1,0,37,2010,3,470302,0,99,12,76.0,1,2,0,99,2,0,99,-86.88005556,17
79,3,1760,0000000,0,36.11830833,1,8,44,0,99,1,1,99,47,0,SR-251,,1,0,0,1,99,3,0,1,0,37,2010,4,470386,23,99,19,85.0,2,2,0,99,2,0,99,-86.92337778,6
80,3,1760,0000000,0,36.2736,1,42,31,0,88,1,0,99,47,0,OLD HICKORY BOULEVAR,,1,0,0,1,99,6,0,4,0,37,2010,4,470388,0,99,15,83.0,1,1,0,88,1,0,99,-86.84428333,13
81,1,1760,0000000,0,36.2992,1,30,11,0,88,1,0,99,47,0,US-SR112,,1,0,0,1,99,2,0,4,0,37,2010,5,470393,0,99,3,85.0,2,1,0,88,1,0,99,-86.88763056,9
82,2,1760,0000000,2,36.20331111,1,12,48,0,99,1,0,99,47,0,SR-12,,2,0,0,1,99,3,1,1,0,37,2010,5,470394,20,99,19,52.0,3,2,0,99,2,1,99,-86.85074167,10
83,5,1760,0000000,0,36.23596944,1,25,1,0,99,1,0,99,47,0,SR-155,,1,0,0,1,99,3,0,3,0,37,2010,5,470396,0,99,17,134.0,1,1,0,99,1,1,99,-86.70595278,13
84,5,1760,0000000,2,36.18433056,1,12,19,0,99,1,0,99,47,0,CENTRAL PIKE,,2,0,0,1,99,6,0,1,0,37,2010,6,470414,0,99,13,4.0,1,2,0,99,2,0,99,-86.62484722,10
85,7,1760,0000000,1,36.10456389,1,12,7,0,99,1,0,99,47,0,US-SR11,,3,0,0,1,99,2,1,1,0,37,2010,4,470430,0,99,14,90.0,1,2,0,99,2,0,99,-86.74195833,10
86,5,1760,0000000,0,36.20675,1,8,0,0,88,1,1,99,47,0,US-SR65,,1,0,0,1,99,2,0,1,0,37,2010,5,470431,0,99,0,7.0,3,1,0,88,1,0,99,-86.7802,20
87,5,1760,0000000,7,36.15009722,1,12,20,0,88,1,0,99,47,0,I-40,,2,0,0,1,99,1,0,1,0,37,2010,5,470440,0,99,4,180.0,3,2,0,88,2,1,99,-86.78426944,13
88,1,1760,0000000,6,36.03462778,1,12,24,0,99,1,0,99,47,0,SR-100,,4,0,0,1,99,3,0,1,0,37,2010,6,470445,0,99,10,45.0,1,2,0,99,2,0,99,-86.97297222,6
89,6,1760,0000000,2,36.10566111,1,12,2,0,99,1,0,99,47,0,BELL ROAD,,2,0,0,1,99,6,0,1,0,37,2010,6,470447,0,99,13,26.0,1,2,0,99,2,0,99,-86.62904722,11
90,7,1760,0000000,2,36.09897778,1,12,41,0,99,1,0,99,47,0,I-65,,7,0,0,1,99,1,1,1,0,37,2010,7,470511,0,99,1,47.0,3,2,0,99,2,1,99,-86.76366944,3
91,1,1760,0000000,1,36.13454722,1,12,52,0,99,1,0,99,47,0,I-24,,2,0,0,1,99,1,1,1,0,37,2010,2,470580,0,99,2,239.0,2,2,0,99,2,1,99,-86.72672778,28
92,2,1760,0000000,0,36.23896111,2,1,30,0,88,2,0,99,47,0,SR-155,,1,0,0,1,99,3,0,1,0,37,2010,6,470590,0,99,15,146.0,1,1,0,88,1,1,99,-86.74145833,28
93,7,1760,0000000,1,36.13553611,1,12,12,0,99,1,0,99,47,0,MAGNOLIA BOULEVARD,18TH AVENUE S,4,0,0,1,99,6,0,1,0,37,2010,7,470603,0,99,14,15.0,1,2,0,99,2,0,99,-86.79715556,10
94,7,1760,0000000,0,36.18016389,1,30,8,0,88,1,0,99,47,0,NORTH NEW HOPE ROAD,,1,0,0,1,99,6,1,4,0,37,2010,8,470606,0,99,4,5.0,2,1,0,88,1,0,99,-86.58216944,14
95,6,1760,0000000,0,36.10399444,1,30,41,0,88,1,0,99,47,0,US-SR1,,1,0,0,1,99,2,1,3,0,37,2010,5,470607,0,99,2,251.0,3,1,0,88,1,0,99,-86.66765556,28
96,6,1760,0000000,0,36.16639722,1,8,1,0,99,1,1,99,47,0,CHARLOTTE AVENUE,4TH AVENUE N,1,0,0,1,99,6,0,1,0,37,2010,6,470608,0,99,11,8.0,1,1,0,99,1,0,99,-86.78065833,25
97,4,1760,0000000,0,36.08233056,2,8,23,0,99,2,2,99,47,0,US-SR11,,1,0,0,1,99,2,0,1,0,37,2010,8,470642,0,99,23,72.0,3,1,0,99,1,0,99,-86.72715556,18
98,1,1760,0000000,0,36.26237222,1,8,40,0,99,1,1,99,47,0,SR-45,EAGAN CIRCLE,1,0,0,1,99,3,1,1,0,37,2010,8,470647,0,99,1,91.0,3,1,0,99,1,1,99,-86.67925278,22
99,1,1760,0000000,0,36.23810833,1,23,26,0,2,1,0,99,47,0,I-24,,5,0,0,1,99,1,1,3,0,37,2010,1,470682,0,99,2,119.0,2,1,0,48,1,1,99,-86.78602222,31
100,3,1760,0000000,2,36.17093056,1,12,0,0,7,1,0,99,47,0,CENTENNIAL BOULEVARD,,2,0,0,1,99,6,0,1,0,37,2010,9,470684,0,99,7,28.0,1,2,0,15,2,0,99,-86.86286667,21
101,3,1760,0000000,0,36.20235278,1,33,55,0,5,1,1,5,47,0,US-SR24,,1,0,0,1,57,2,0,4,0,37,2010,6,470694,0,4,4,234.0,3,1,0,28,1,0,2,-86.61681667,29
102,4,1760,0000000,2,36.28203889,1,12,5,0,99,1,0,99,47,0,MYATT DRIVE,,2,0,0,1,99,6,1,1,0,37,2010,6,470698,0,99,1,13.0,3,2,0,99,2,0,99,-86.69196667,30
103,7,1760,0000000,1,36.08691111,1,12,54,0,99,1,0,99,47,0,BATTERY LANE,,7,0,0,1,99,6,0,1,0,37,2010,8,470711,0,99,13,55.0,1,4,0,99,4,0,99,-86.77780833,28
104,5,1760,0000000,0,36.27846667,1,24,51,0,88,1,0,99,47,0,US-SR6,,1,0,0,1,99,2,1,4,0,37,2010,5,470724,0,99,0,197.0,3,1,0,88,1,0,99,-86.70926111,20
105,3,1760,0000000,0,36.22436944,1,24,32,0,99,1,0,99,47,0,I-24,,2,0,0,1,99,1,0,4,0,37,2010,7,470725,0,99,23,123.0,3,1,0,99,1,1,99,-86.77473889,27
106,5,1760,0000000,0,36.18435556,1,8,35,0,88,1,1,99,47,0,I-65,,2,0,1,1,99,1,0,1,0,37,2010,7,470747,14,99,23,96.0,2,2,0,88,2,1,99,-86.79817778,15
107,4,1760,0000000,6,36.29318056,1,12,59,0,99,1,0,99,47,0,US-SR6,ALTA LOMA ROAD,4,0,0,2,99,2,1,1,0,37,2010,10,470767,0,99,0,208.0,3,2,0,99,2,0,99,-86.70236667,6
108,5,1760,0000000,6,36.30907778,1,12,30,0,20,1,0,99,47,0,US-SR6,,2,0,0,1,99,2,0,1,0,37,2010,10,470779,0,99,20,225.0,3,2,0,57,2,0,99,-86.67865556,7
109,7,1760,0000000,6,36.37198889,1,12,51,0,14,1,0,99,47,0,US-SR11,,5,0,0,1,99,2,0,1,0,37,2010,10,470792,0,99,13,14.0,1,2,0,14,2,0,99,-86.74314444,16
110,7,1760,0000000,0,36.19329444,1,8,52,0,99,1,1,99,47,0,US-SR6,,1,0,0,1,99,2,0,1,0,37,2010,10,470810,0,99,18,123.0,2,1,0,99,1,1,99,-86.75269167,23
111,7,1760,0000000,0,36.07723333,2,42,57,0,99,2,0,99,47,0,I-40,,1,0,0,1,99,1,0,4,0,37,2010,11,470860,0,99,23,18.0,2,1,0,99,1,1,99,-87.00697778,13
112,1,1760,0000000,0,36.13769722,1,1,52,0,99,1,0,99,47,0,I-24 RAMP,,2,0,0,1,99,1,1,4,0,37,2010,10,470867,0,99,3,174.0,3,1,0,99,1,1,99,-86.72646667,3
113,2,1760,0000000,2,36.24108056,1,12,30,0,99,1,0,99,47,0,US-SR65,,2,0,0,1,99,2,0,1,0,37,2010,12,470909,0,99,7,42.0,1,2,0,99,2,0,99,-86.82020833,6
114,2,1760,0000000,0,36.27518889,1,38,10,0,99,1,0,99,47,0,OLD HICKORY BOULEVAR,,1,0,0,1,99,6,0,4,0,37,2010,11,470924,0,99,10,55.0,1,1,0,99,1,0,99,-86.87536944,29
115,1,1760,0000000,6,36.12009167,1,12,57,0,99,1,0,99,47,0,I-40,,2,0,0,1,99,1,0,1,0,37,2010,9,470957,0,99,19,85.0,3,2,0,99,2,1,99,-86.91213333,12
116,5,1760,0000000,0,36.32314167,1,30,54,0,88,1,0,99,47,0,OLD CLARKSVILLE HIGH,,1,0,0,1,99,6,0,4,0,37,2010,11,470958,0,99,10,6.0,1,1,0,88,1,0,99,-86.91218333,4
117,7,1760,0000000,6,36.13581389,1,12,15,0,99,1,0,99,47,0,US-SR24,BROOK HOLLOW ROAD,2,0,0,1,99,2,0,1,0,37,2010,11,470959,0,99,11,63.0,1,2,0,99,2,0,99,-86.88516667,6
